Item ID,Inventory Balance,Items to Expire,$ Value of Transfer
2220,3064.3482799999992,0.0,3006.052
2614,1.9123500000000004,0.0,0.0
2646,182.6064,0.0,2338.9399999999996
2736,2504.25,0.0,1575.0
2738,3127.2499999999995,1216.2500000000005,2975.0
16029,506.2926,0.0,467.75
16131,0.0,0.0,0.0
16394,0.0,0.0,0.0
16395,48.312000000000026,0.0,0.0
16536,0.0,0.0,0.0
16584,0.0,0.0,0.0
16692,47.9952,0.0,74.336
16866,0.0,0.0,0.0
16887,0.0,0.0,0.0
16964,0.0,0.0,86.72
17153,5266.352,0.0,5096.0
26594,0.0,0.0,0.0
27067,25.231,0.0,0.0
29630,0.0,0.0,0.0
30583,75.87749999999988,0.0,0.0
30696,167.15400000000005,0.0,128.58
30697,212.94779999999997,142.44,142.44
30709,75.8564,0.0,53.42
30710,0.0,0.0,0.0
30990,0.0,0.0,0.0
33406,0.0,0.0,0.0
33858,0.0,0.0,0.0
33899,0.0,0.0,0.0
34258,93.86720000000008,0.0,85.83999999999999
34753,0.0,0.0,995.41
34756,2608.9559999999997,0.0,9875.95
35914,0.0,0.0,0.0
36010,0.0,0.0,0.0
36083,26.966399999999997,0.0,0.0
38404,0.0,0.0,0.0
38460,0.0,0.0,0.0
39064,0.0,0.0,0.0
39210,13.79200000000001,0.0,0.0
39224,203.7864,0.0,202.74
40065,0.0,0.0,0.0
40883,10.128000000000002,0.0,0.0
40915,107.568,0.0,97.19999999999999
40931,0.0,0.0,0.0
40966,0.0,0.0,0.0
41000,460.56000000000023,0.0,444.4
41053,1611.62,0.0,1586.0
41589,0.0,0.0,0.0
41590,0.0,0.0,0.0
41603,9.653999999999966,0.0,0.0
42832,0.0,0.0,0.0
43276,0.0,0.0,0.0
44256,0.0,0.0,0.0
44471,84.82999999999996,0.0,74.85
48373,0.0,0.0,0.0
48592,2483.9999999999986,0.0,2475.0
48879,77.59859999999999,77.69,0.0
56659,1391.0400000000004,0.0,1344.0
57647,0.0,0.0,0.0
60388,73.58400000000007,0.0,0.0
60544,179.90770000000003,0.0,175.14000000000001
60623,0.0,6345.0,6345.0
60633,477.12,0.0,420.0
60648,683.8800000000001,0.0,574.0
61047,1226.4,0.0,1092.0
61055,0.0,0.0,0.0
61104,0.0,0.0,0.0
61133,40.099840000000015,0.0,0.0
61440,0.0,0.0,0.0
61528,0.0,0.0,0.0
61984,19825.079999999998,0.0,18216.0
61986,0.0,0.0,0.0
61996,0.0,9256.0,9256.0
62526,0.0,0.0,0.0
63066,0.0,0.0,0.0
63082,591.7508,0.0,564.34
63137,0.0,0.0,0.0
63151,0.0,0.0,0.0
63493,0.0,0.0,0.0
63556,0.0,0.0,0.0
63616,926.2367999999999,0.0,354.88
64416,346.2528,0.0,272.64
64551,0.0,0.0,0.0
64895,309.47099999999995,143.94,215.91
66080,0.0,0.0,0.0
66353,2427.7320000000004,0.0,2400.2999999999997
66358,71.37610000000004,0.0,0.0
66367,604.2113999999996,0.0,353.34
66373,1624.2288,0.0,1380.72
66844,0.0,0.0,0.0
66845,87.912,0.0,0.0
66846,0.0,0.0,0.0
66932,0.0,0.0,0.0
67006,0.0,0.0,0.0
67010,9.406800000000002,0.0,0.0
67126,0.0,0.0,0.0
67610,0.0,0.0,0.0
67812,0.0,0.0,0.0
67902,202.40159999999997,0.0,169.8
68368,2932.056,0.0,2779.2000000000003
68839,0.0,0.0,0.0
69096,22.976000000000003,0.0,0.0
69126,0.0,0.0,0.0
69335,0.0,0.0,0.0
69440,0.0,0.0,0.0
69776,0.0,0.0,0.0
69926,0.0,0.0,0.0
69931,721.3019999999999,0.0,679.0500000000001
71505,0.0,0.0,0.0
71549,28.20000000000001,0.0,0.0
71550,0.0,0.0,0.0
71553,0.0,372.0,372.0
71555,0.0,0.0,0.0
71556,45.00000000000004,0.0,0.0
71557,0.0,0.0,0.0
71559,0.0,0.0,0.0
71562,0.0,0.0,0.0
71564,72.86399999999976,0.0,66.0
71776,0.0,0.0,0.0
71972,0.0,0.0,0.0
72054,87.92800000000007,0.0,83.38
72300,0.0,276.94,276.94
72315,23.502549999999975,0.0,0.0
72629,0.0,0.0,0.0
72899,0.0,0.0,0.0
73261,0.0,136.5,0.0
73602,0.0,0.0,0.0
73606,6.5520000000001515,0.0,0.0
73618,430.1499999999999,0.0,420.0
74147,0.0,0.0,0.0
74370,3.9908000000000037,0.0,126.98
74371,68.14440000000002,0.0,131.68
75512,2267.33,0.0,2247.0
75929,0.0,0.0,0.0
76031,10.790400000000009,0.0,0.0
78083,174.09480000000002,0.0,167.86
78727,115.90950000000001,0.0,78.85
80355,2146.5328,1077.0,2139.64
80356,0.0,1256.5,1256.5
80372,0.0,0.0,0.0
100616,0.0,0.0,0.0
100845,0.0,0.0,0.0
100888,0.0,0.0,0.0
100907,0.0,0.0,0.0
100980,383.7387999999997,0.0,314.54
101003,0.0,0.0,0.0
101356,12.59999999999999,0.0,0.0
101515,711.9,0.0,630.0
101585,0.0,0.0,0.0
101587,0.0,0.0,0.0
101709,1296.6299999999999,0.0,864.42
101887,6021.599999999999,0.0,5590.0
102068,6.4344000000000054,11.49,0.0
102093,499.47200000000083,0.0,402.8
102190,0.0,0.0,0.0
102272,0.0,0.0,0.0
102998,739.3199999999999,0.0,727.2
102999,97.50779999999995,0.0,60.19
103093,2582.16,0.0,1272.0
103097,0.0,0.0,0.0
103475,0.0,0.0,0.0
104377,0.0,0.0,0.0
104614,92.88720000000002,0.0,61.11
104804,0.0,0.0,0.0
104980,0.0,0.0,0.0
105655,36.126000000000005,0.0,17795.4
105880,0.0,0.0,0.0
105922,0.0,3314.688,3314.688
106451,0.0,0.0,0.0
106866,2592.0,0.0,2073.6
106868,2903.040000000001,0.0,2592.0
106880,4824.0,0.0,4350.0
107411,0.0,0.0,0.0
107859,0.0,0.0,0.0
108084,752.209,4692.68,4692.68
108494,479.61120000000005,0.0,391.2
108560,28.358399999999993,0.0,0.0
108759,12.996,0.0,51.300000000000004
108852,0.0,0.0,0.0
108854,0.0,0.0,0.0
108860,0.0,0.0,0.0
108862,0.0,0.0,0.0
108863,0.0,0.0,0.0
108874,45.90000000000004,0.0,0.0
109426,0.0,0.0,0.0
109428,0.0,0.0,0.0
109664,0.0,0.0,0.0
110142,0.0,310.0,310.0
110244,74.02500000000003,0.0,0.0
110245,0.0,0.0,0.0
111259,0.0,0.0,0.0
111501,1816.2688000000003,0.0,1596.33
111623,0.0,0.0,0.0
111770,1303.2432,0.0,1128.9599999999998
111971,0.0,0.0,0.0
112015,0.0,0.0,0.0
112356,439.7115,0.0,346.4
112412,3855.3093999999983,0.0,3774.1299999999997
112567,88.25600000000007,0.0,236.39999999999998
112598,102.58559999999996,0.0,71.24
112966,0.0,0.0,0.0
114707,0.0,0.0,0.0
115227,48.0,0.0,0.0
115229,0.0,0.0,0.0
115230,0.0,0.0,0.0
115277,0.0,0.0,0.0
115710,0.0,0.0,0.0
116929,0.0,0.0,0.0
116930,0.0,0.0,0.0
117541,1794.4416000000003,0.0,1671.84
117542,0.0,0.0,0.0
117964,4836.772500000003,0.0,4631.9
118677,0.0,470.0,470.0
118702,126.44700000000002,0.0,111.89999999999999
118704,0.0,0.0,0.0
119026,0.0,0.0,0.0
119202,33.7008,0.0,759.9200000000001
120021,0.0,0.0,0.0
120022,443.5200000000003,0.0,330.0
120658,13.59040000000001,0.0,0.0
120933,0.0,0.0,0.0
120960,576.6192000000001,0.0,313.38
121577,0.0,0.0,0.0
121827,2244.7999999999997,0.0,1840.0
122010,0.0,0.0,0.0
122029,0.0,0.0,0.0
122065,0.0,0.0,0.0
122154,0.0,0.0,0.0
122155,0.0,0.0,0.0
122156,333.1755999999999,0.0,257.61
122157,0.0,0.0,0.0
122158,78.3552,0.0,0.0
122602,0.0,0.0,0.0
122843,0.0,0.0,0.0
123099,0.0,0.0,0.0
123529,219.0,0.0,218.99999999999997
124521,817.8480000000001,0.0,812.52
124717,0.0,0.0,0.0
125300,0.0,0.0,0.0
125877,3463.0199999999995,0.0,3103.6499999999996
126110,0.0,0.0,0.0
126122,0.0,0.0,0.0
126178,2898.0,0.0,2100.0
126627,0.0,0.0,0.0
126824,0.0,0.0,0.0
127079,806.0,0.0,806.0
127080,0.0,0.0,0.0
127364,0.0,0.0,0.0
127391,0.0,0.0,0.0
128033,0.0,0.0,0.0
128084,3225.5119999999997,0.0,3119.8399999999997
128165,0.0,0.0,0.0
128194,326.16319999999985,0.0,0.0
128239,77.76119999999999,0.0,0.0
128264,55.762399999999964,0.0,0.0
128450,23.39400000000002,0.0,0.0
128451,23.39400000000002,0.0,0.0
128459,899.3000000000001,0.0,828.0
128623,0.0,0.0,0.0
128703,0.0,0.0,0.0
128970,95.832,0.0,0.0
130021,21.868799999999997,0.0,0.0
130033,0.0,0.0,0.0
130373,0.0,0.0,0.0
130391,328.41792,0.0,306.36
130467,0.0,0.0,0.0
130521,498.30119999999994,0.0,448.92
130523,3196.999999999999,0.0,2875.0
130532,0.0,0.0,0.0
130604,203.83935,0.0,163.5075
130722,0.0,0.0,0.0
130770,0.0,0.0,0.0
131081,0.0,0.0,0.0
131127,0.0,0.0,0.0
131413,0.0,0.0,0.0
132270,37474.416,0.0,32747.4
132409,6580.859999999998,0.0,6134.700000000001
132809,915.2157999999998,0.0,874.4100000000001
133325,46868.1,0.0,43743.56
133759,0.0,0.0,0.0
133784,67.56750000000001,0.0,0.0
133793,689.3999999999999,0.0,540.0
133795,5860.925,0.0,5810.0
133798,0.0,0.0,0.0
133799,74.7,0.0,90.0
134331,0.0,0.0,0.0
134391,0.0,0.0,0.0
134562,598.5,0.0,562.5
134754,0.0,0.0,0.0
134860,1086.8,0.0,1045.0
134922,0.0,0.0,0.0
135006,0.0,0.0,0.0
135024,0.0,0.0,0.0
135025,394.2,0.0,0.0
135063,5004.8128,0.0,5952.08
135157,0.0,0.0,0.0
135164,1476.0,0.0,1476.0
135183,2343.6000000000004,0.0,1860.0
135184,186.00000000000006,1162.5,1162.5
135185,0.0,0.0,0.0
135401,0.0,0.0,0.0
135533,3643.75,0.0,2650.0
135534,0.0,0.0,0.0
135535,0.0,0.0,0.0
135604,0.0,0.0,0.0
135628,0.0,0.0,0.0
136002,9718.509,0.0,9199.400000000001
136004,6643.363000000001,0.0,5576.800000000001
136005,20457.4711,0.0,19601.690000000002
136145,1860.408,0.0,1425.6
136232,0.0,0.0,0.0
136377,0.0,0.0,0.0
136399,370.27199999999976,0.0,308.56
136456,0.0,0.0,0.0
136468,356.3900000000001,0.0,314.0
136500,1957.8824999999997,0.0,1744.3500000000001
136595,1547.55,0.0,1330.0
136680,0.0,0.0,0.0
136771,0.0,0.0,0.0
136850,0.0,0.0,0.0
136922,0.0,920.0,920.0
136931,0.0,0.0,0.0
136966,3878.1250000000005,4250.0,4250.0
136973,0.0,0.0,0.0
136974,0.0,0.0,0.0
137015,0.0,0.0,0.0
137150,0.0,850.5,850.5
137159,0.0,0.0,5270.4
137217,0.0,0.0,0.0
137601,0.0,653.1,653.1
138555,0.0,0.0,0.0
138642,1662.8992000000005,0.0,1222.72
138833,48.803400000000025,0.0,171.24
138938,0.0,0.0,0.0
138939,0.0,0.0,0.0
139061,3671.4284,0.0,3111.38
139095,41.99040000000001,0.0,0.0
139133,500.8132,0.0,471.41
139140,0.0,0.0,0.0
139350,0.0,0.0,0.0
139351,0.0,222.43,222.43
139353,0.0,0.0,0.0
139434,236.71999999999997,0.0,0.0
139460,1033.9230000000007,0.0,853.6
139602,2596.0000000000005,0.0,2200.0
139609,1751.75,0.0,1300.0
139623,3259.2560000000008,0.0,2802.7999999999997
139624,12906.595500000001,0.0,12354.75
139633,0.0,0.0,0.0
139762,0.0,0.0,0.0
139783,8599.399999999998,380.0,8455.0
139798,0.0,0.0,0.0
139816,0.0,211.58,211.58
139977,0.0,0.0,0.0
140044,0.0,0.0,0.0
140048,378.99840000000006,0.0,358.9
140265,1723.0848000000003,0.0,1720.32
140333,0.0,0.0,0.0
140498,0.0,0.0,0.0
140534,0.0,0.0,0.0
140691,0.0,0.0,0.0
140720,0.0,0.0,0.0
141141,0.0,0.0,0.0
141142,0.0,0.0,0.0
141143,438.5664000000001,0.0,406.08000000000004
141144,0.0,0.0,0.0
141523,4.564000000000002,0.0,0.0
141534,0.0,0.0,0.0
141605,0.0,0.0,0.0
141743,0.0,0.0,0.0
141772,703.0812999999996,0.0,657.6999999999999
141779,370.5662688,0.0,368.60040000000004
141890,131.948125,0.0,63.019999999999996
141914,0.0,0.0,0.0
142039,30.464054000000004,0.0,0.0
142159,577.0534,186.2844,481.76999999999987
142392,53.53260000000001,0.0,0.0
142510,0.0,0.0,0.0
142656,0.0,0.0,0.0
142674,736.9999999999999,0.0,550.0
142802,1351.7352,0.0,1257.96
143387,0.0,0.0,0.0
143556,0.0,0.0,0.0
143710,0.0,0.0,0.0
143783,2527.2000000000003,0.0,2430.0
143882,0.0,0.0,0.0
144107,259.72,0.0,259.72
144210,1009.288,0.0,1219.3999999999999
144385,1413.5484000000001,544.72,1225.6200000000001
144715,0.0,0.0,0.0
144716,0.0,0.0,0.0
144717,0.0,0.0,0.0
144736,432.11519999999945,0.0,245.52
144738,317.62789999999995,0.0,194.07
144745,69.8652,0.0,64.69
145143,0.0,0.0,0.0
145350,0.0,0.0,0.0
145367,0.0,0.0,0.0
145369,181.5744,0.0,176.39999999999998
145459,0.0,0.0,0.0
146805,690.3000000000001,0.0,585.0
146925,459.34319999999997,0.0,356.08
146966,625.1280000000002,0.0,260.47
146995,0.0,0.0,0.0
147025,139.00400000000002,0.0,112.1
147079,340.7456,0.0,327.64
147180,113.91360000000002,0.0,62.82000000000001
148601,38.784000000000034,0.0,0.0
148846,134.54400000000012,0.0,0.0
148847,2204.0,0.0,2100.0
149250,0.0,0.0,0.0
150319,0.0,0.0,0.0
150886,0.0,0.0,0.0
150896,0.0,0.0,0.0
151393,0.0,0.0,0.0
151395,0.0,0.0,0.0
151396,0.0,0.0,0.0
151397,0.0,0.0,0.0
151438,12.00000000000001,0.0,0.0
151599,0.0,0.0,0.0
151600,0.0,0.0,0.0
151947,88.40099999999997,0.0,74.6
151951,48.862000000000045,0.0,0.0
152321,0.0,0.0,0.0
152352,0.0,0.0,0.0
152353,0.0,0.0,0.0
152443,0.0,0.0,0.0
152649,0.0,0.0,0.0
152937,48.89000000000004,0.0,0.0
152938,49.455999999999996,224.8,224.8
152941,303.2832000000001,0.0,236.94
153016,1270.5984,0.0,882.36
153017,430.2592,0.0,219.52
153018,1165.9295999999997,0.0,883.28
153019,0.0,0.0,50.0
153386,0.0,0.0,0.0
154368,1293.6000000000001,0.0,1078.0
154506,1913.0288000000003,0.0,1828.4
154637,421.19999999999936,0.0,0.0
154861,0.0,0.0,0.0
154908,0.0,0.0,0.0
155000,0.0,0.0,0.0
155001,54.08000000000014,0.0,52.0
155484,0.0,0.0,0.0
155628,152.73600000000005,0.0,116.96
155653,613.3600000000002,0.0,374.0
155933,0.0,0.0,0.0
155989,0.0,0.0,0.0
156238,576.0000000000005,0.0,0.0
156700,186.73500000000004,0.0,177.0
156702,0.0,0.0,0.0
156704,465.51,0.0,354.0
156785,0.0,0.0,0.0
156913,0.0,0.0,0.0
156933,0.0,0.0,3403.3999999999996
157212,0.0,0.0,0.0
157387,0.0,0.0,290.74
157703,0.0,0.0,0.0
157814,1237.4349999999997,0.0,1231.75
157815,119.76020000000001,0.0,114.275
157864,0.0,0.0,0.0
157883,0.0,0.0,0.0
157998,0.0,0.0,0.0
158007,0.0,0.0,0.0
158062,0.0,0.0,0.0
158071,392.18149999999997,0.0,311.75
158072,189.54399999999993,0.0,187.05
158359,0.0,0.0,0.0
158414,0.0,0.0,0.0
158427,0.0,0.0,0.0
158441,0.0,0.0,0.0
158449,57.58719999999999,0.0,0.0
158469,2.808399999999998,0.0,0.0
158775,0.0,0.0,0.0
159146,2509.2144000000008,0.0,11451.509999999998
159242,1978.8132000000007,0.0,1268.47
159301,1223.2500000000018,42.000000000000036,525.0
159310,0.0,0.0,0.0
159411,462.94399999999996,0.0,440.3
159706,3674.7699999999995,0.0,3630.0
159811,0.0,0.0,0.0
159887,0.0,0.0,0.0
160172,0.0,0.0,0.0
160177,0.0,0.0,0.0
160218,42.32,42.32,0.0
160367,108349.72499999999,0.0,105682.5
160380,0.0,0.0,0.0
160632,275.1999999999998,0.0,240.0
160682,37.625000000000036,0.0,0.0
160989,0.0,0.0,56.2
160996,0.0,0.0,0.0
161036,9163.0,0.0,8400.0
161062,0.0,0.0,0.0
161153,0.0,0.0,0.0
161307,79.98,0.0,79.98
161333,1989.0879999999997,0.0,1243.18
